read_id	read_length	target	alignment_length	identity	mapq
SRR27841065.126543	6250	CM084263.1_rotation_3_offset_10878	6304	0.978902	0
SRR27841065.126543	6250	CM084263.1_rotation_1_offset_3626	3866	0.980083	0
SRR27841065.126847	7268	CM084263.1_rotation_0_offset_0	7317	0.984010	0
SRR27841065.126847	7268	CM084263.1_rotation_1_offset_3626	7317	0.984010	0
SRR27841065.126847	7268	CM084263.1_rotation_2_offset_7252	6635	0.984175	0
SRR27841065.126847	7268	CM084263.1_rotation_3_offset_10878	4324	0.982192	0
SRR27841065.130650	3928	CM084263.1_rotation_1_offset_3626	3983	0.958825	0
SRR27841065.130650	3928	CM084263.1_rotation_3_offset_10878	3983	0.958825	0
SRR27841065.130650	3928	CM084263.1_rotation_0_offset_0	3983	0.958825	0
SRR27841065.130650	3928	CM084263.1_rotation_2_offset_7252	2098	0.959009	0
SRR27841065.137563	1652	CM084263.1_rotation_3_offset_10878	1668	0.986811	0
SRR27841065.137563	1652	CM084263.1_rotation_1_offset_3626	1668	0.986811	0
SRR27841065.137563	1652	CM084263.1_rotation_0_offset_0	1668	0.986811	0
SRR27841065.137563	1652	CM084263.1_rotation_2_offset_7252	1668	0.986811	0
SRR27841065.139390	2405	CM084263.1_rotation_0_offset_0	2424	0.971947	0
SRR27841065.139390	2405	CM084263.1_rotation_3_offset_10878	2424	0.971947	0
SRR27841065.139390	2405	CM084263.1_rotation_1_offset_3626	2424	0.971947	0
SRR27841065.139390	2405	CM084263.1_rotation_2_offset_7252	1558	0.968549	0
SRR27841065.140470	779	CM084263.1_rotation_2_offset_7252	91	1.000000	0
SRR27841065.140470	779	CM084263.1_rotation_1_offset_3626	91	1.000000	0
SRR27841065.140470	779	CM084263.1_rotation_0_offset_0	91	1.000000	0
SRR27841065.140470	779	CM084263.1_rotation_3_offset_10878	91	1.000000	0
SRR27841065.140470	779	CM084263.1_rotation_3_offset_10878	97	0.896907	0
SRR27841065.140470	779	CM084263.1_rotation_2_offset_7252	97	0.896907	0
SRR27841065.140470	779	CM084263.1_rotation_0_offset_0	97	0.896907	0
SRR27841065.140470	779	CM084263.1_rotation_1_offset_3626	97	0.896907	0
SRR27841065.145984	113	CM084263.1_rotation_1_offset_3626	104	0.932692	0
SRR27841065.145984	113	CM084263.1_rotation_3_offset_10878	104	0.932692	0
SRR27841065.145984	113	CM084263.1_rotation_0_offset_0	104	0.932692	0
SRR27841065.145984	113	CM084263.1_rotation_2_offset_7252	104	0.932692	0
SRR27841065.149761	910	CM084263.1_rotation_1_offset_3626	932	0.922747	0
SRR27841065.149761	910	CM084263.1_rotation_0_offset_0	932	0.922747	0
SRR27841065.149761	910	CM084263.1_rotation_3_offset_10878	932	0.922747	0
SRR27841065.149761	910	CM084263.1_rotation_2_offset_7252	932	0.922747	0
SRR27841065.150406	215	CM084263.1_rotation_1_offset_3626	214	0.948598	0
SRR27841065.150406	215	CM084263.1_rotation_0_offset_0	214	0.948598	0
SRR27841065.150406	215	CM084263.1_rotation_2_offset_7252	214	0.948598	0
SRR27841065.150406	215	CM084263.1_rotation_3_offset_10878	180	0.944444	0
SRR27841065.151560	1620	CM084263.1_rotation_0_offset_0	91	0.978022	0
SRR27841065.151560	1620	CM084263.1_rotation_1_offset_3626	91	0.978022	0
SRR27841065.151560	1620	CM084263.1_rotation_2_offset_7252	91	0.978022	0
SRR27841065.151560	1620	CM084263.1_rotation_3_offset_10878	91	0.978022	0
SRR27841065.151560	1620	CM084263.1_rotation_1_offset_3626	91	0.945055	1
SRR27841065.151560	1620	CM084263.1_rotation_2_offset_7252	91	0.945055	0
SRR27841065.151560	1620	CM084263.1_rotation_3_offset_10878	91	0.945055	0
SRR27841065.151560	1620	CM084263.1_rotation_0_offset_0	91	0.945055	0
SRR27841065.151560	1620	CM084263.1_rotation_0_offset_0	96	0.906250	0
SRR27841065.151560	1620	CM084263.1_rotation_2_offset_7252	96	0.906250	0
SRR27841065.151560	1620	CM084263.1_rotation_3_offset_10878	96	0.906250	0
SRR27841065.151560	1620	CM084263.1_rotation_1_offset_3626	96	0.906250	0
SRR27841065.151560	1620	CM084263.1_rotation_0_offset_0	92	0.923913	22
SRR27841065.151560	1620	CM084263.1_rotation_0_offset_0	91	0.923077	10
SRR27841065.151910	3394	CM084263.1_rotation_2_offset_7252	91	0.989011	0
SRR27841065.151910	3394	CM084263.1_rotation_1_offset_3626	91	0.989011	0
SRR27841065.151910	3394	CM084263.1_rotation_0_offset_0	91	0.989011	0
SRR27841065.151910	3394	CM084263.1_rotation_3_offset_10878	91	0.989011	0
SRR27841065.151910	3394	CM084263.1_rotation_0_offset_0	94	0.968085	0
SRR27841065.151910	3394	CM084263.1_rotation_2_offset_7252	94	0.968085	0
SRR27841065.151910	3394	CM084263.1_rotation_1_offset_3626	94	0.968085	0
SRR27841065.151910	3394	CM084263.1_rotation_3_offset_10878	94	0.968085	0
SRR27841065.151910	3394	CM084263.1_rotation_3_offset_10878	95	0.905263	0
SRR27841065.151910	3394	CM084263.1_rotation_2_offset_7252	95	0.905263	0
SRR27841065.151910	3394	CM084263.1_rotation_0_offset_0	95	0.905263	0
SRR27841065.151910	3394	CM084263.1_rotation_1_offset_3626	95	0.905263	0
SRR27841065.151910	3394	CM084263.1_rotation_1_offset_3626	92	0.945652	34
SRR27841065.151910	3394	CM084263.1_rotation_0_offset_0	92	0.945652	0
SRR27841065.151910	3394	CM084263.1_rotation_2_offset_7252	92	0.945652	0
SRR27841065.151910	3394	CM084263.1_rotation_3_offset_10878	92	0.945652	0
SRR27841065.151910	3394	CM084263.1_rotation_0_offset_0	87	0.931034	36
SRR27841065.151910	3394	CM084263.1_rotation_3_offset_10878	89	0.898876	0
SRR27841065.151910	3394	CM084263.1_rotation_2_offset_7252	89	0.898876	0
SRR27841065.151910	3394	CM084263.1_rotation_1_offset_3626	89	0.898876	0
SRR27841065.151910	3394	CM084263.1_rotation_0_offset_0	89	0.898876	0
SRR27841065.151910	3394	CM084263.1_rotation_0_offset_0	71	0.929577	1
SRR27841065.152205	577	CM084263.1_rotation_1_offset_3626	533	0.853659	0
SRR27841065.152205	577	CM084263.1_rotation_2_offset_7252	533	0.853659	0
SRR27841065.152205	577	CM084263.1_rotation_3_offset_10878	533	0.853659	0
SRR27841065.152205	577	CM084263.1_rotation_0_offset_0	533	0.853659	0
SRR27841065.154203	786	CM084263.1_rotation_0_offset_0	797	0.958595	0
SRR27841065.154203	786	CM084263.1_rotation_2_offset_7252	797	0.958595	0
SRR27841065.154203	786	CM084263.1_rotation_3_offset_10878	797	0.958595	0
SRR27841065.154203	786	CM084263.1_rotation_1_offset_3626	797	0.958595	0
SRR27841065.155801	4425	CM084263.1_rotation_2_offset_7252	4456	0.976212	0
SRR27841065.155801	4425	CM084263.1_rotation_3_offset_10878	4456	0.976212	0
SRR27841065.155801	4425	CM084263.1_rotation_0_offset_0	4456	0.976212	0
SRR27841065.155801	4425	CM084263.1_rotation_1_offset_3626	2797	0.974616	0
SRR27841065.158934	1097	CM084263.1_rotation_0_offset_0	1112	0.974820	0
SRR27841065.158934	1097	CM084263.1_rotation_1_offset_3626	1112	0.974820	0
SRR27841065.158934	1097	CM084263.1_rotation_3_offset_10878	1112	0.974820	0
SRR27841065.158934	1097	CM084263.1_rotation_2_offset_7252	641	0.975039	0
SRR27841065.159181	834	CM084263.1_rotation_1_offset_3626	850	0.963529	0
SRR27841065.159181	834	CM084263.1_rotation_0_offset_0	850	0.963529	0
SRR27841065.159181	834	CM084263.1_rotation_2_offset_7252	850	0.963529	0
SRR27841065.159181	834	CM084263.1_rotation_3_offset_10878	850	0.963529	0
SRR27841065.162074	935	CM084263.1_rotation_1_offset_3626	938	0.986141	0
SRR27841065.162074	935	CM084263.1_rotation_2_offset_7252	938	0.986141	0
SRR27841065.162074	935	CM084263.1_rotation_3_offset_10878	938	0.986141	0
SRR27841065.162074	935	CM084263.1_rotation_0_offset_0	938	0.986141	0
SRR27841065.169014	6687	CM084263.1_rotation_1_offset_3626	3356	0.977950	0
SRR27841065.169014	6687	CM084263.1_rotation_3_offset_10878	3356	0.977950	0
SRR27841065.169014	6687	CM084263.1_rotation_0_offset_0	3356	0.977950	0
SRR27841065.169014	6687	CM084263.1_rotation_2_offset_7252	3356	0.977950	0
SRR27841065.169014	6687	CM084263.1_rotation_1_offset_3626	498	0.371486	0
SRR27841065.169014	6687	CM084263.1_rotation_3_offset_10878	498	0.371486	0
SRR27841065.169014	6687	CM084263.1_rotation_2_offset_7252	498	0.371486	0
SRR27841065.169014	6687	CM084263.1_rotation_2_offset_7252	91	1.000000	0
SRR27841065.169014	6687	CM084263.1_rotation_0_offset_0	91	1.000000	0
SRR27841065.169014	6687	CM084263.1_rotation_3_offset_10878	91	1.000000	0
SRR27841065.169014	6687	CM084263.1_rotation_3_offset_10878	91	1.000000	0
SRR27841065.169014	6687	CM084263.1_rotation_1_offset_3626	91	1.000000	0
SRR27841065.169014	6687	CM084263.1_rotation_1_offset_3626	91	1.000000	0
SRR27841065.169014	6687	CM084263.1_rotation_2_offset_7252	91	1.000000	0
SRR27841065.169014	6687	CM084263.1_rotation_0_offset_0	91	1.000000	0
SRR27841065.169014	6687	CM084263.1_rotation_1_offset_3626	91	0.989011	0
SRR27841065.169014	6687	CM084263.1_rotation_3_offset_10878	91	0.989011	0
SRR27841065.169014	6687	CM084263.1_rotation_1_offset_3626	91	0.989011	0
SRR27841065.169014	6687	CM084263.1_rotation_0_offset_0	91	0.989011	0
SRR27841065.169014	6687	CM084263.1_rotation_0_offset_0	91	0.989011	0
SRR27841065.169014	6687	CM084263.1_rotation_3_offset_10878	91	0.989011	0
SRR27841065.169014	6687	CM084263.1_rotation_2_offset_7252	91	0.989011	0
SRR27841065.169014	6687	CM084263.1_rotation_2_offset_7252	91	0.989011	0
SRR27841065.169014	6687	CM084263.1_rotation_0_offset_0	89	0.977528	50
